Category,Admissions,Male,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean length of stay,Median length of stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Day case,Bed days,Year
A00-A09 Intestinal infectious diseases,45191,24816,40852,2244,52.0,34.0,4.6,1.0,30,28230,10140,5010.0,9496,3297,192356.0,2004
A15-A19 Tuberculosis,3932,3368,2735,728,24.0,8.0,17.4,10.0,41,282,4255,766.0,525,408,65206.0,2004
A20-A49 Certain bacterial diseases,20942,16358,18781,610,27.0,7.0,14.4,7.0,62,3877,6998,7519.0,15066,355,318499.0,2004
A50-A64 Infections with predominantly sexual mode of transmission,2678,1269,632,1810,81.0,57.0,3.6,1.0,37,83,2148,161.0,150,1512,4103.0,2004
A65-A79 Other infectious and parasitic disorders,262,157,151,52,66.0,34.0,6.1,2.5,39,44,199,54.0,10,79,1021.0,2004
A80-A89 Viral infections of the central nervous system,2185,1439,1934,100,29.0,15.0,8.8,4.0,34,341,2370,254.0,103,37,19447.0,2004
A90-A99 Arthropod-borne viral fevers & viral haemorrhagic fevers,42,43,38,1,0.0,0.0,3.5,4.0,34,3,53,2.0,0,1,152.0,2004
B00-B09 Viral infections characterized by skin & mucous mem. lesns.,11738,6373,8082,2949,68.0,48.0,5.0,2.0,35,5339,3921,1454.0,2300,2939,45563.0,2004
B15-B19 Viral hepatitis,6068,4656,1260,2449,52.0,33.0,4.9,2.0,42,162,5799,589.0,70,3329,13527.0,2004
B20-B24 Human imrnunodeficiency virus [HIV] disease,4489,3879,2030,1070,10.0,1.0,14.8,7.0,39,165,4940,169.0,30,1626,44245.0,2004
B25-B34 Other viral diseases,41078,23534,40198,349,28.0,14.0,1.3,1.0,13,29957,11371,1336.0,796,337,54664.0,2004
B35-B49 Mycoses,3195,1856,1715,932,44.0,24.0,7.2,2.0,47,736,1612,838.0,782,1103,15851.0,2004
B50-B64 Protozoal diseases,2267,1794,1876,195,11.0,1.0,4.5,3.0,36,282,2254,225.0,41,235,9362.0,2004
B65-B83 Helminthiases,431,226,251,119,68.0,38.0,4.2,3.0,26,168,278,35.0,5,118,1330.0,2004
B85-B99 Other infectious and parasitic diseases,734,403,567,76,42.0,30.0,7.7,3.0,47,227,294,112.0,262,76,5130.0,2004
C00-C14 Malignant neoplasm of liporal cavity and pharynx,12778,10101,2013,7062,20.0,11.0,8.9,4.0,60,184,7024,5106.0,2215,2525,92225.0,2004
C15-C26 Malignant neoplasm of digestive organs,233899,163751,32685,80073,17.0,9.0,11.2,7.0,67,512,68845,126740.0,71409,142263,1058333.0,2004
C30-C39 Malignant neoplasms of respiratory & intrathoracic organs,80775,59148,22654,23633,14.0,7.0,10.5,6.0,67,236,24327,47334.0,25301,39500,449913.0,2004
C40-C41 Malignant neoplasm of bone and articular cartilage,5246,3348,869,1650,21.0,9.0,7.0,4.0,28,1630,3228,381.0,301,1220,28519.0,2004
C43-C44 Malignant neoplasms of skin,63682,35454,1225,57514,46.0,34.0,4.7,2.0,70,92,13974,21436.0,28846,50161,63291.0,2004
C45-C49 Malignant neoplasms of mesothelial and soft tissue,12937,8593,2775,4685,21.0,11.0,8.0,4.0,56,1479,4856,5435.0,2642,4692,66914.0,2004
C50 Malignant neoplasm of breast,128642,708,7407,56023,18.0,13.0,5.6,4.0,57,0,80737,38358.0,12450,80788,260840.0,2004
C51-C58 Malignant neoplasms of female genital organs,54227,0,7140,21549,20.0,13.0,7.4,4.0,61,116,23514,23373.0,10329,26231,206576.0,2004
C60-C63 Malignant neoplasms of male genital organs,44594,49176,8242,23191,40.0,26.0,8.4,4.0,68,87,10135,20780.0,18155,19171,213607.0,2004
C64-C68 Malignant neoplasms of urinary tract,86961,67852,7362,44843,40.0,27.0,6.6,3.0,70,2108,13857,38678.0,38207,42827,293100.0,2004
"C69-C72 Malignant neoplasms of eye, brain & other parts of CNS",16561,11153,5215,4206,22.0,9.0,11.8,6.0,38,6358,7201,3941.0,1739,5948,127652.0,2004
"C73-C80, C97 Malignant neoplsm. of thyroid and oth. endo. Glands etc.",83456,38095,23658,24165,18.0,9.0,10.5,6.0,62,2226,34190,38989.0,22758,36080,516589.0,2004
"C81-C96 Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",222094,135121,24885,74677,12.0,6.0,9.0,3.0,55,22231,90113,80258.0,40960,165641,514166.0,2004
D00-D48 In situ & benign neoplasms and others of uncertainty,267767,117309,14169,192807,73.0,44.0,5.3,3.0,55,10746,143468,69424.0,53978,185422,433971.0,2004
D50-D64 Anaemias,125723,62389,37095,46079,32.0,16.0,6.2,2.0,59,8452,54163,34394.0,52704,73835,324480.0,2004
D65-D89 Diseases of the blood and blood-forming organs,54269,31518,16005,15920,17.0,7.0,5.4,3.0,45,11167,26886,13636.0,6583,32721,118694.0,2004
E00-E07 Disorders of thyroid gland,10443,2203,1983,7468,90.0,62.0,5.4,3.0,51,606,6976,2395.0,1587,1846,45603.0,2004
E10-E14 Diabetes Mellitus,54943,39478,33281,15466,39.0,27.0,9.0,3.0,52,5694,33407,18299.0,13761,16414,355737.0,2004
E15-E90 Endocrine nutritional and metabolic diseases,86490,49381,35590,25411,51.0,17.0,8.2,4.0,52,13107,42519,21405.0,24471,36793,407929.0,2004
F00-F03 Dementia,20987,11238,11850,1959,17.0,2.0,74.6,27.0,81,1,480,4941.0,21944,273,1245832.0,2004
F04-F09 Other organic including symptomatic mental disorders,4154,2483,3237,226,29.0,4.0,39.8,16.0,72,26,1182,1009.0,3441,21,145482.0,2004
F10-F19 Mental and behavioural disorders due to psychoactive subst.,44367,36509,34526,4929,19.0,6.0,10.5,4.0,40,2295,44429,4606.0,1196,60,462423.0,2004
"F20-F29 Schizophrenia, schizotypal and delusional disorders",33208,24648,24534,1806,44.0,3.0,108.3,35.0,41,70,34105,3760.0,1757,16,2704799.0,2004
F30-F39 Mood [affective] disorders,43321,19019,31507,2380,29.0,3.0,48.2,25.0,51,146,31848,8725.0,7188,292,1954479.0,2004
"F40-F69 Neurotic, bahavioural & personality disorders",26301,11049,18607,2725,84.0,47.0,29.4,8.0,42,880,22774,3014.0,2572,1172,708466.0,2004
F70-F79 Mental retardation,12064,7480,1494,1547,17.0,7.0,117.4,3.0,25,3528,8864,197.0,40,133,291438.0,2004
F80-F99 Other mental and behavioural disorders,8468,5459,3829,1167,52.0,23.0,72.1,7.0,33,2608,5342,624.0,809,678,312733.0,2004
G00-G09 Inflammatory diseases of the central nervous system,3781,2765,2565,337,31.0,11.0,16.6,9.0,35,1510,2627,761.0,338,293,59582.0,2004
"G10-G13, G30-G32 Other degenerative diseases (incl. Alzheimer).",11699,7212,6535,1996,36.0,17.0,50.8,16.0,72,472,2321,4058.0,8964,730,474844.0,2004
G20-G26 Extrapyramidal & movement disorders (incl. Parkinsonism).,11245,7861,4767,4097,62.0,39.0,23.0,12.0,67,509,3227,4720.0,6310,3515,184305.0,2004
G35-G37 Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,16942,5977,3809,6621,30.0,14.0,14.2,5.0,46,91,16200,2459.0,382,7712,128688.0,2004
G40-G47 Epilepsy migraine & other episodic disorders,83861,54138,61573,12831,90.0,67.0,4.5,1.0,49,13647,49853,18495.0,20482,4329,342655.0,2004
G50-G73  G90-G99 Other diseases & disorders of the nervous syst.,93488,39004,11625,68953,108.0,83.0,9.3,2.0,54,3196,56663,24811.0,14880,62948,276879.0,2004
G80-G83 Cerebral palsy & other paralytic syndromes,14336,9400,6079,4019,91.0,63.0,27.6,7.0,49,4356,5185,3378.0,5242,3265,263087.0,2004
"H00-H06, H15-H22, H30-H36, H43-H5 Other disorders of the eye etc.",119666,58346,20983,92291,88.0,63.0,2.3,1.0,53,15576,45908,30960.0,29169,76807,98450.0,2004
H10-H13 Disorders of conjunctiva (including conjunctivitis),4993,2540,1282,3468,105.0,84.0,1.5,0.0,44,884,2665,990.0,529,3300,2495.0,2004
